nodeID,xcoord,ycoord,floor,building
L122550849,2255,849,L1,45 Francis
L126651043,2665,1043,L1,45 Francis
L124451245,2445,1245,L1,45 Francis
L119800844,1980,844,L1,Tower
L118450844,1845,844,L1,Tower
L123101043,2310,1043,L1,45 Francis
L117320924,1732,924,L1,Tower
L124451043,2445,1043,L1,45 Francis
L124451284,2445,1284,L1,45 Francis
L127701070,2770,1070,L1,45 Francis
L117501284,1750,1284,L1,Tower
L121301284,2130,1284,L1,Tower
L121301045,2130,1045,L1,Tower
L122151045,2215,1045,L1,45 Francis
L122200904,2220,904,L1,45 Francis
L122650904,2265,904,L1,45 Francis
L123600849,2360,849,L1,45 Francis
L121300904,2130,904,L1,45 Francis
L121300844,2130,844,L1,45 Francis
L118450924,1845,924,L1,Tower
L123000849,2300,849,L1,45 Francis
L119651284,1965,1284,L1,Tower
L117501090,1750,1090,L1,Tower
L122901284,2290,1284,L1,45 Francis
L123201284,2320,1284,L1,45 Francis
L127701284,2770,1284,L1,45 Francis
L117321019,1732,1019,L1,Tower
L120651284,2065,1284,L1,Tower
L123000879,2300,879,L1,45 Francis
L127701160,2770,1160,L1,45 Francis
L121850904,2185,904,L1,45 Francis
L124901043,2490,1043,L1,45 Francis
L116372116,1637,2116,L1,Shapiro
L117022260,1702,2260,L1,Shapiro
L117022167,1702,2167,L1,Shapiro
L116882167,1688,2167,L1,Shapiro
L116662167,1666,2167,L1,Shapiro
L116882131,1688,2131,L1,Shapiro
L116652116,1665,2116,L1,Shapiro
L117202131,1720,2131,L1,Shapiro
L127151070,2715,1070,L1,45 Francis
L123600799,2360,799,L1,45 Francis
L122200974,2220,974,L1,45 Francis
L117850924,1785,924,L1,Tower
L118201284,1820,1284,L1,Tower
